ء	ʔ
اقتضى	aː q a t a dˤ aː
اقتطع	aː q a t a tˤ a ʕ
اقتطف	aː q a t a tˤ a f
اقتعد	aː q a t a ʕ a d
اقتنع	aː q a t a n a ʕ
اقرباء	aː q a r a b aː ʔ
اقشعر	aː q a ʃ a ʕ a r
اكتأب	aː k a t a ʔa a b
اكتئاب	aː k a t a ʔi aː b
اكتتاب	aː k a t a t aː b
اكتتب	aː k a t a t a b
اكتحل	aː k a t a ħ a l
اكتدح	aː k a t a d a ħ
اكترى	aː k a t a r aː
اكتسب	aː k a t a s a b
اكتسى	aː k a t a s aː
اكتظ	aː k a t a ðˤ
اكتظاظ	aː k a t a ðˤ aː ðˤ
اكتفاء	aː k a t a f aː ʔ
اكتفى	aː k a t a f aː
اكتنف	aː k a t a n a f
اكفهر	aː k a f a h a r
الآب	aː l aː b
الآخرة	aː l aː x a r a
الآن	aː l aː n
الأحد	aː l a ʔa a ħ a d
الأربعاء	aː l a ʔa a r a b a ʕ aː ʔ
الأرثوذكسية	aː l a ʔa a r a θ uː ð a k a s iː a
الأرجنتين	aː l a ʔa a r a d͡ʒ a n a t iː n
الأردن	aː l a ʔa a r a d a n
الأردن	aː l a ʔa a r a d a n
الأرض	aː l a ʔa a r a dˤ
الأشهل	aː l a ʔa a ʃ a h a l
الألى	aː l a ʔa a l aː
الأناضول	aː l a ʔa a n aː dˤ uː l
الأناضول	aː l a ʔa a n aː dˤ uː l
الأندلس	aː l a ʔa a n a d a l a s
الأندلس	aː l a ʔa a n a d a l a s
الأنصار	aː l a ʔa a n a sˤ aː r
الإسكندرية	aː l a ʔi a s a k a n a d a r iː a
الإسلام	aː l a ʔi a s a l aː m
الإمارات	aː l a ʔi a m aː r aː t
الإنجيل	aː l a ʔi a n a d͡ʒ iː l
الاثنين	aː l aː θ a n iː n
الامرأت	aː l aː m a r a ʔa a t
البتراء	aː l a b a t a r aː ʔ
البحرين	aː l a b a ħ a r iː n
البرازيل	aː l a b a r aː z iː l
البراق	aː l a b a r aː q
البرتغال	aː l a b a r a t a ɣ aː l
البرجيس	aː l a b a r a d͡ʒ iː s
البلقان	aː l a b a l a q aː n
البنجاب	aː l a b a n a d͡ʒ aː b
البندقية	aː l a b a n a d a q iː a
البنغال	aː l a b a n a ɣ aː l
البهاما	aː l a b a h aː m aː
التباس	aː l a t a b aː s
التبس	aː l a t a b a s
التحق	aː l a t a ħ a q
التشيك	aː l a t a ʃ iː k
التصق	aː l a t a sˤ a q
التف	aː l a t a f
التقط	aː l a t a q a tˤ
التهاب	aː l a t a h aː b
التهب	aː l a t a h a b
التهم	aː l a t a h a m
الثلاثاء	aː l a θ a l aː θ aː ʔ
الثلاثاء	aː l a θ a l aː θ aː ʔ
الثلاثاء	aː l a θ a l aː θ aː ʔ
الجبيل	aː l a d͡ʒ a b iː l
الجديدة	aː l a d͡ʒ a d iː d a
الجزائر	aː l a d͡ʒ a z aː ʔi a r
الجزائر	aː l a d͡ʒ a z aː ʔi a r
الجزائر	aː l a d͡ʒ a z aː ʔi a r
الجزائر	aː l a d͡ʒ a z aː ʔi a r
الجمعة	aː l a d͡ʒ a m a ʕ a
الجمعة	aː l a d͡ʒ a m a ʕ a
الجمعة	aː l a d͡ʒ a m a ʕ a
الحارث	aː l a ħ aː r a θ
الحبش	aː l a ħ a b a ʃ
الحبشة	aː l a ħ a b a ʃ a
الحجاز	aː l a ħ a d͡ʒ aː z
الحرمين	aː l a ħ a r a m iː n
الحسكة	aː l a ħ a s a k a
الحسيمة	aː l a ħ a s iː m a
الخرطوم	aː l a x a r a tˤ uː m
الخمس	aː l a x a m a s
الخميس	aː l a x a m iː s
الخميسات	aː l a x a m iː s aː t
الدانوب	aː l a d aː n uː b
الدجاجة	aː l a d a d͡ʒ aː d͡ʒ a
الدنمارك	aː l a d a n a m aː r a k
الدوحة	aː l a d uː ħ a
الذي	aː l a ð iː
الرباط	aː l a r a b aː tˤ
الرباط	aː l a r a b aː tˤ
الرحمن	aː l a r a ħ a m a n
الرشاء	aː l a r a ʃ aː ʔ
الرضا	aː l a r a dˤ aː
الرقة	aː l a r a q a
الرياض	aː l a r iː aː dˤ
الزرقاء	aː l a z a r a q aː ʔ
الزهرة	aː l a z a h a r a
السبت	aː l a s a b a t
السعودية	aː l a s a ʕ uː d iː a
السعودية	aː l a s a ʕ uː d iː a
السفن	aː l a s a f a n
السلفادور	aː l a s a l a f aː d uː r
السلفادور	aː l a s a l a f aː d uː r
السند	aː l a s a n a d
السنغال	aː l a s a n a ɣ aː l
السودان	aː l a s uː d aː n
السويد	aː l a s uː iː d
السويس	aː l a s uː iː s
الشارقة	aː l a ʃ aː r a q a
الشارقة	aː l a ʃ aː r a q a
الشافعي	aː l a ʃ aː f a ʕ iː
الصربية	aː l a sˤ a r a b iː a
الصومال	aː l a sˤ uː m aː l
الصويرة	aː l a sˤ uː iː r a
الصين	aː l a sˤ iː n
العاصي	aː l a ʕ aː sˤ iː
العبرية	aː l a ʕ a b a r iː a
العرائش	aː l a ʕ a r aː ʔi a ʃ
العراق	aː l a ʕ a r aː q
العربية	aː l a ʕ a r a b iː a
العزى	aː l a ʕ a z aː
العفو	aː l a ʕ a f uː
العفو	aː l a ʕ a f uː
العنقاء	aː l a ʕ a n a q aː ʔ
الغابون	aː l a ɣ aː b uː n
الغابون	aː l a ɣ aː b uː n
الغابون	aː l a ɣ aː b uː n
الغير	aː l a ɣ iː r
الفاتيكان	aː l a f aː t iː k aː n
الفاتيكان	aː l a f aː t iː k aː n
الفاطر	aː l a f aː tˤ a r
الفرات	aː l a f a r aː t
الفصحى	aː l a f a sˤ a ħ aː
الفلبين	aː l a f a l a b iː n
القاعدة	aː l a q aː ʕ a d a
القاهرة	aː l a q aː h a r a
القبلتان	aː l a q a b a l a t aː n
القبلتين	aː l a q a b a l a t iː n
القدس	aː l a q a d a s
القرآن	aː l a q a r aː n
القرآنية	aː l a q a r aː n iː a
القرم	aː l a q a r a m
القسطنطينية	aː l a q a s a tˤ a n a tˤ iː n iː a
القطيف	aː l a q a tˤ iː f
القطيف	aː l a q a tˤ iː f
القنت	aː l a q a n a t
القنيطرة	aː l a q a n iː tˤ a r a
القوقاز	aː l a q uː q aː z
القيروان	aː l a q iː r uː aː n
الكاميرون	aː l a k aː m iː r uː n
الكرملين	aː l a k a r a m a l iː n
الكرملين	aː l a k a r a m a l iː n
الكرملين	aː l a k a r a m a l iː n
الكعبة	aː l a k a ʕ a b a
الكنية	aː l a k a n iː a
الكونغو	aː l a k uː n a ɣ uː
الكونغو	aː l a k uː n a ɣ uː
الكونغو	aː l a k uː n a ɣ uː
الكويت	aː l a k uː iː t
اللات	aː l a l aː t
اللاذقية	aː l a l aː ð a q iː a
الله	aː l a l a h
الله	aː l a l a h
اللهم	aː l a l a h a m
المثنى	aː l a m a θ a n aː
المجر	aː l a m a d͡ʒ a r
المحرض	aː l a m a ħ a r a dˤ
المحمدية	aː l a m a ħ a m a d iː a
المخا	aː l a m a x aː
المخلص	aː l a m a x a l a sˤ
المدائن	aː l a m a d aː ʔi a n
المدينة	aː l a m a d iː n a
المرء	aː l a m a r a ʔ
المريخ	aː l a m a r iː x
المسيح	aː l a m a s iː ħ
المشتري	aː l a m a ʃ a t a r iː
المصري	aː l a m a sˤ a r iː
المعتزلة	aː l a m a ʕ a t a z a l a
المغرب	aː l a m a ɣ a r a b
المكسيك	aː l a m a k a s iː k
المنامة	aː l a m a n aː m a
المنستير	aː l a m a n a s a t iː r
الموصل	aː l a m uː sˤ a l
الناصرة	aː l a n aː sˤ a r a
الناصرة	aː l a n aː sˤ a r a
الناظور	aː l a n aː ðˤ uː r
النجف	aː l a n a d͡ʒ a f
النرويج	aː l a n a r uː iː d͡ʒ
النمسا	aː l a n a m a s aː
النمسا	aː l a n a m a s aː
النوبة	aː l a n uː b a
النيجر	aː l a n iː d͡ʒ a r
الهند	aː l a h a n a d
الوداع	aː l uː d aː ʕ
اليابان	aː l iː aː b aː n
اليرموك	aː l iː r a m uː k
اليسع	aː l iː s a ʕ
اليمن	aː l iː m a n
اليوم	aː l iː uː m
اليونان	aː l iː uː n aː n
امتاز	aː m a t aː z
امتحان	aː m a t a ħ aː n
امتحن	aː m a t a ħ a n
امترى	aː m a t a r aː
امتطى	aː m a t a tˤ aː
امتعاض	aː m a t a ʕ aː dˤ
امتعض	aː m a t a ʕ a dˤ
امتن	aː m a t a n
امتنع	aː m a t a n a ʕ
امتياز	aː m a t iː aː z
امرأ	aː m a r a ʔa
امرأ	aː m a r a ʔa
امرأ	aː m a r a ʔa
امرأة	aː m a r a ʔa a
امرؤ	aː m a r a ʔu
امناء	aː m a n aː ʔ
انبث	aː n a b a θ
انبث	aː n a b a θ
انبثق	aː n a b a θ a q
انبساط	aː n a b a s aː tˤ
انبطح	aː n a b a tˤ a ħ
انبعث	aː n a b a ʕ a θ
انبغى	aː n a b a ɣ aː
انبل	aː n a b a l
انتأى	aː n a t a ʔa aː
انتباه	aː n a t a b aː h
انتبه	aː n a t a b a h
انتحال	aː n a t a ħ aː l
انتحب	aː n a t a ħ a b
انتحل	aː n a t a ħ a l
انتخاب	aː n a t a x aː b
انتخب	aː n a t a x a b
انتزع	aː n a t a z a ʕ
انتشار	aː n a t a ʃ aː r
انتشق	aː n a t a ʃ a q
انتصاب	aː n a t a sˤ aː b
انتصار	aː n a t a sˤ aː r
انتصب	aː n a t a sˤ a b
انتظار	aː n a t a ðˤ aː r
انتظام	aː n a t a ðˤ aː m
انتظر	aː n a t a ðˤ a r
انتظم	aː n a t a ðˤ a m
انتعش	aː n a t a ʕ a ʃ
انتفاضة	aː n a t a f aː dˤ a
انتفاع	aː n a t a f aː ʕ
انتفخ	aː n a t a f a x
انتفع	aː n a t a f a ʕ
انتفى	aː n a t a f aː
انتقاء	aː n a t a q aː ʔ
انتقائي	aː n a t a q aː ʔi iː
انتقائية	aː n a t a q aː ʔi iː a
انتقاض	aː n a t a q aː dˤ
انتقال	aː n a t a q aː l
انتقام	aː n a t a q aː m
انتقد	aː n a t a q a d
انتقض	aː n a t a q a dˤ
انتقل	aː n a t a q a l
انتقم	aː n a t a q a m
انتقى	aː n a t a q aː
انتكس	aː n a t a k a s
انتماء	aː n a t a m aː ʔ
انتمى	aː n a t a m aː
انتهاز	aː n a t a h aː z
انتهاك	aː n a t a h aː k
انتهز	aː n a t a h a z
انتهك	aː n a t a h a k
انتهى	aː n a t a h aː
انثقب	aː n a θ a q a b
انجذاب	aː n a d͡ʒ a ð aː b
انجراف	aː n a d͡ʒ a r aː f
انجرف	aː n a d͡ʒ a r a f
انحاز	aː n a ħ aː z
انحرق	aː n a ħ a r a q
انحصار	aː n a ħ a sˤ aː r
انحصر	aː n a ħ a sˤ a r
انحط	aː n a ħ a tˤ
انحناء	aː n a ħ a n aː ʔ
انحياز	aː n a ħ iː aː z
انخرط	aː n a x a r a tˤ
انخفاض	aː n a x a f aː dˤ
انخفض	aː n a x a f a dˤ
انخلع	aː n a x a l a ʕ
اندحار	aː n a d a ħ aː r
اندفاع	aː n a d a f aː ʕ
اندفاق	aː n a d a f aː q
اندفع	aː n a d a f a ʕ
اندفق	aː n a d a f a q
اندلاق	aː n a d a l aː q
اندلع	aː n a d a l a ʕ
اندلق	aː n a d a l a q
اندمج	aː n a d a m a d͡ʒ
اندمل	aː n a d a m a l
اندهاش	aː n a d a h aː ʃ
اندهش	aː n a d a h a ʃ
انزعاج	aː n a z a ʕ aː d͡ʒ
انزواء	aː n a z uː aː ʔ
انسجام	aː n a s a d͡ʒ aː m
انسحب	aː n a s a ħ a b
انسحق	aː n a s a ħ a q
انسداد	aː n a s a d aː d
انسكب	aː n a s a k a b
انسل	aː n a s a l
انسلخ	aː n a s a l a x
انشغال	aː n a ʃ a ɣ aː l
انشق	aː n a ʃ a q
انشقاق	aː n a ʃ a q aː q
انشوى	aː n a ʃ uː aː
انصبن	aː n a sˤ a b a n
انصرف	aː n a sˤ a r a f
انضباط	aː n a dˤ a b aː tˤ
انضجع	aː n a dˤ a d͡ʒ a ʕ
انضم	aː n a dˤ a m
انطباع	aː n a tˤ a b aː ʕ
انطباق	aː n a tˤ a b aː q
انطبع	aː n a tˤ a b a ʕ
انطبق	aː n a tˤ a b a q
انطلق	aː n a tˤ a l a q
انطواء	aː n a tˤ uː aː ʔ
انطوائي	aː n a tˤ uː aː ʔi iː
انعدم	aː n a ʕ a d a m
انعدى	aː n a ʕ a d aː
انعطف	aː n a ʕ a tˤ a f
انعقاد	aː n a ʕ a q aː d
انعكاس	aː n a ʕ a k aː s
انفأى	aː n a f a ʔa aː
انفتاح	aː n a f a t aː ħ
انفتح	aː n a f a t a ħ
انفجر	aː n a f a d͡ʒ a r
انفرادي	aː n a f a r aː d iː
انفرث	aː n a f a r a θ
انفرط	aː n a f a r a tˤ
انفعال	aː n a f a ʕ aː l
انفك	aː n a f a k
انفلاق	aː n a f a l aː q
انفلق	aː n a f a l a q
انقباض	aː n a q a b aː dˤ
انقبض	aː n a q a b a dˤ
انقد	aː n a q a d
انقراض	aː n a q a r aː dˤ
انقرض	aː n a q a r a dˤ
انقسام	aː n a q a s aː m
انقسم	aː n a q a s a m
انقشع	aː n a q a ʃ a ʕ
انقضاض	aː n a q a dˤ aː dˤ
انقضى	aː n a q a dˤ aː
انقطع	aː n a q a tˤ a ʕ
انقلاب	aː n a q a l aː b
انقلب	aː n a q a l a b
انقلع	aː n a q a l a ʕ
انكب	aː n a k a b
انكتاب	aː n a k a t aː b
انكتب	aː n a k a t a b
انكمش	aː n a k a m a ʃ
انهار	aː n a h aː r
انهمر	aː n a h a m a r
انهمك	aː n a h a m a k
اهتدى	aː h a t a d aː
اهتز	aː h a t a z
اهتزاز	aː h a t a z aː z
اهتم	aː h a t a m
ب	b
ب	b
ب	b
بأس	b a ʔa a s
بأساء	b a ʔa a s aː ʔ
بؤر	b a ʔu a r
بؤرة	b a ʔu a r a
بؤس	b a ʔu a s
بؤس	b a ʔu a s
بئر	b a ʔi a r
بئس	b a ʔi a s
بئسما	b a ʔi a s a m aː
باء	b aː ʔ
باء	b aː ʔ
بائس	b aː ʔi a s
بائع	b aː ʔi a ʕ
بائن	b aː ʔi a n
باب	b aː b
بابا	b aː b aː
بابل	b aː b a l
بابلي	b aː b a l iː
بابور	b aː b uː r
بابونج	b aː b uː n a d͡ʒ
باح	b aː ħ
باحث	b aː ħ a θ
باحث	b aː ħ a θ
باخوم	b aː x uː m
باد	b aː d
باد	b aː d
بادية	b aː d iː a
باذنجان	b aː ð a n a d͡ʒ aː n
بارا	b aː r aː
بارا	b aː r aː
باراغواي	b aː r aː ɣ uː aː iː
بارد	b aː r a d
بارز	b aː r a z
بارز	b aː r a z
بارزد	b aː r a z a d
بارزذ	b aː r a z a ð
بارع	b aː r a ʕ
بارك	b aː r a k
بارم	b aː r a m
باروق	b aː r uː q
بارون	b aː r uː n
بارونية	b aː r uː n iː a
باريس	b aː r iː s
باريس	b aː r iː s
باز	b aː z
بازار	b aː z aː r
بازنقر	b aː z a n a q a r
بازنقر	b aː z a n a q a r
بازهر	b aː z a h a r
بازوكة	b aː z uː k a
باس	b aː s
باستا	b aː s a t aː
باستا	b aː s a t aː
باسط	b aː s a tˤ
باسل	b aː s a l
باسور	b aː s uː r
باسيليوس	b aː s iː l iː uː s
باشا	b aː ʃ aː
باشق	b aː ʃ a q
باشق	b aː ʃ a q
باص	b aː sˤ
باصور	b aː sˤ uː r
باضع	b aː dˤ a ʕ
باطس	b aː tˤ a s
باطلا	b aː tˤ a l aː
باطن	b aː tˤ a n
باطني	b aː tˤ a n iː
باطية	b aː tˤ iː a
باع	b aː ʕ
باغت	b aː ɣ a t
باقة	b aː q a
باقلاء	b aː q a l aː ʔ
باقلاء	b aː q a l aː ʔ
باقلى	b aː q a l aː
باقي	b aː q iː
باكر	b aː k a r
باكستان	b aː k a s a t aː n
باكستاني	b aː k a s a t aː n iː
باكو	b aː k uː
باكورة	b aː k uː r a
بال	b aː l
بال	b aː l
بالاو	b aː l aː uː
بالة	b aː l a
بالتسي	b aː l a t a s iː
بالتوفيق	b aː l a t uː f iː q
بالضبط	b aː l a dˤ a b a tˤ
بالعكس	b aː l a ʕ a k a s
بالغ	b aː l a ɣ
بالغ	b aː l a ɣ
بالغ	b aː l a ɣ
بالفعل	b aː l a f a ʕ a l
بالوعات	b aː l uː ʕ aː t
بالون	b aː l uː n
باليه	b aː l iː h
بامية	b aː m iː a
بانثيون	b aː n a θ iː uː n
بانثيون	b aː n a θ iː uː n
بانثيون	b aː n a θ iː uː n
باهت	b aː h a t
باهل	b aː h a l
بايع	b aː iː ʕ
ببر	b a b a r
ببنودة	b a b a n uː d a
بتاتا	b a t aː t aː
بتاتا	b a t aː t aː
بتة	b a t a
بتصرف	b a t a sˤ a r a f
بتع	b a t a ʕ
بتليس	b a t a l iː s
بتول	b a t uː l
بتولا	b a t uː l aː
بتولية	b a t uː l iː a
بتيل	b a t iː l
بثرات	b a θ a r aː t
بثن	b a θ a n
بثور	b a θ uː r
بجادق	b a d͡ʒ aː d a q
بجادي	b a d͡ʒ aː d iː
بجادي	b a d͡ʒ aː d iː
بجاذق	b a d͡ʒ aː ð a q
بجاذي	b a d͡ʒ aː ð iː
بجح	b a d͡ʒ a ħ
بجح	b a d͡ʒ a ħ
بجد	b a d͡ʒ a d
بجوار	b a d͡ʒ uː aː r
بجول	b a d͡ʒ uː l
بجون	b a d͡ʒ uː n
بح	b a ħ
بحاح	b a ħ aː ħ
بحار	b a ħ aː r
بحث	b a ħ a θ
بحث	b a ħ a θ
بحر	b a ħ a r
بحر	b a ħ a r
بحر	b a ħ a r
بحر	b a ħ a r
بحر	b a ħ a r
بحران	b a ħ a r aː n
بحري	b a ħ a r iː
بحرين	b a ħ a r iː n
بحرين	b a ħ a r iː n
بحريني	b a ħ a r iː n iː
بحلق	b a ħ a l a q
بحيرة	b a ħ iː r a
بخاخ	b a x aː x
بخت	b a x a t
بخت	b a x a t
بختري	b a x a t a r iː
بخشيش	b a x a ʃ iː ʃ
بخص	b a x a sˤ
بخص	b a x a sˤ
بخير	b a x iː r
بخيل	b a x iː l
بدأ	b a d a ʔa
بدا	b a d aː
بداية	b a d aː iː a
بدخش	b a d a x a ʃ
بدر	b a d a r
بدعة	b a d a ʕ a
بدلات	b a d a l aː t
بدلة	b a d a l a
بدليس	b a d a l iː s
بدن	b a d a n
بدنة	b a d a n a
بدني	b a d a n iː
بدهي	b a d a h iː
بدون	b a d uː n
بدوي	b a d uː iː
بديع	b a d iː ʕ
بديهي	b a d iː h iː
بذ	b a ð
بذاءة	b a ð aː ʔ a
بذج	b a ð a d͡ʒ
بذج	b a ð a d͡ʒ
بذرة	b a ð a r a
بذرقطونا	b a ð a r a q a tˤ uː n aː
بذرقطونا	b a ð a r a q a tˤ uː n aː
بذريات	b a ð a r iː aː t
بذلة	b a ð a l a
بذلة	b a ð a l a
برأ	b a r a ʔa
برئ	b a r a ʔi
براءة	b a r aː ʔ a
براتا	b a r aː t aː
برار	b a r aː r
براز	b a r aː z
براشوت	b a r aː ʃ uː t
براعة	b a r aː ʕ a
براق	b a r aː q
براني	b a r aː n iː
برانية	b a r aː n iː a
براهمة	b a r aː h a m a
براية	b a r aː iː a
براية	b a r aː iː a
براين	b a r aː iː n
بربادوس	b a r a b aː d uː s
بربادوس	b a r a b aː d uː s
بربادوس	b a r a b aː d uː s
بربادوس	b a r a b aː d uː s
بربارة	b a r a b aː r a
برباريس	b a r a b aː r iː s
بربخ	b a r a b a x
بربري	b a r a b a r iː
بربرية	b a r a b a r iː a
بربير	b a r a b iː r
برتقال	b a r a t a q aː l
برتقال	b a r a t a q aː l
برتقالي	b a r a t a q aː l iː
برثولماوس	b a r a θ uː l a m aː uː s
برج	b a r a d͡ʒ
برج	b a r a d͡ʒ
برج	b a r a d͡ʒ
برجار	b a r a d͡ʒ aː r
برجل	b a r a d͡ʒ a l
برح	b a r a ħ
برح	b a r a ħ
برح	b a r a ħ
بردزبة	b a r a d a z a b a
بردعة	b a r a d a ʕ a
بردقوش	b a r a d a q uː ʃ
بردي	b a r a d iː
بردي	b a r a d iː
برذعة	b a r a ð a ʕ a
برذون	b a r a ð uː n
برر	b a r a r
برز	b a r a z
برساوشان	b a r a s aː uː ʃ aː n
برسياوشان	b a r a s iː aː uː ʃ aː n
برسياوشان	b a r a s iː aː uː ʃ aː n
برسيم	b a r a s iː m
برشام	b a r a ʃ aː m
برشام	b a r a ʃ aː m
برشاوشان	b a r a ʃ aː uː ʃ aː n
برشلونة	b a r a ʃ a l uː n a
برشلوني	b a r a ʃ a l uː n iː
برشومي	b a r a ʃ uː m iː
برشياوشان	b a r a ʃ iː aː uː ʃ aː n
برشياوشان	b a r a ʃ iː aː uː ʃ aː n
برشيد	b a r a ʃ iː d
برص	b a r a sˤ
برطانية	b a r a tˤ aː n iː a
برطانية	b a r a tˤ aː n iː a
برعم	b a r a ʕ a m
برعم	b a r a ʕ a m
برغش	b a r a ɣ a ʃ
برغوث	b a r a ɣ uː θ
برغي	b a r a ɣ iː
برق	b a r a q
برق	b a r a q
برقوق	b a r a q uː q
برقوق	b a r a q uː q
برقية	b a r a q iː a
بركار	b a r a k aː r
بركان	b a r a k aː n
بركان	b a r a k aː n
بركان	b a r a k aː n
بركان	b a r a k aː n
بركاني	b a r a k aː n iː
بركة	b a r a k a
بركة	b a r a k a
بركة	b a r a k a
بركري	b a r a k a r iː
برلمان	b a r a l a m aː n
برلماني	b a r a l a m aː n iː
برلين	b a r a l iː n
برلين	b a r a l iː n
برم	b a r a m
برم	b a r a m
برم	b a r a m
برمائي	b a r a m aː ʔi iː
برمائيات	b a r a m aː ʔi iː aː t
برمة	b a r a m a
برمج	b a r a m a d͡ʒ
برميل	b a r a m iː l
برميل	b a r a m iː l
برن	b a r a n
برن	b a r a n
برن	b a r a n
برنامج	b a r a n aː m a d͡ʒ
برني	b a r a n iː
برني	b a r a n iː
برنية	b a r a n iː a
برنية	b a r a n iː a
برنيق	b a r a n iː q
برنيق	b a r a n iː q
برهان	b a r a h aː n
برهة	b a r a h a
برواز	b a r uː aː z
بروتستانتي	b a r uː t a s a t aː n a t iː
بروتستانتي	b a r uː t a s a t aː n a t iː
بروتون	b a r uː t uː n
برودة	b a r uː d a
بروكسل	b a r uː k a s a l
بروكسل	b a r uː k a s a l
بروليتاري	b a r uː l iː t aː r iː
بروليتاري	b a r uː l iː t aː r iː
بروليتاريا	b a r uː l iː t aː r iː aː
بروليتاريا	b a r uː l iː t aː r iː aː
بروناي	b a r uː n aː iː
بري	b a r iː
بريد	b a r iː d
بريدي	b a r iː d iː
بريطاني	b a r iː tˤ aː n iː
بريطاني	b a r iː tˤ aː n iː
بريمة	b a r iː m a
بريمة	b a r iː m a
برينة	b a r iː n a
برينة	b a r iː n a
بزاز	b a z aː z
بزاق	b a z aː q
بزاقة	b a z aː q a
بزرقطونا	b a z a r a q a tˤ uː n aː
بزرقطونا	b a z a r a q a tˤ uː n aː
بزغ	b a z a ɣ
بزق	b a z a q
بزق	b a z a q
بزقة	b a z a q a
بزل	b a z a l
بزل	b a z a l
بزم	b a z a m
بس	b a s
بس	b a s
بساط	b a s aː tˤ
بساطة	b a s aː tˤ a
بسالة	b a s aː l a
بسام	b a s aː m
بسباس	b a s a b aː s
بسباس	b a s a b aː s
بسباسة	b a s a b aː s a
بسباسة	b a s a b aː s a
بسبايج	b a s a b aː iː d͡ʒ
بسبب	b a s a b a b
بستان	b a s a t aː n
بستنة	b a s a t a n a
بستو	b a s a t uː
بستوقة	b a s a t uː q a
بسد	b a s a d
بسد	b a s a d
بسد	b a s a d
بسط	b a s a tˤ
بسفايج	b a s a f aː iː d͡ʒ
بسكرة	b a s a k a r a
بسكويت	b a s a k uː iː t
بسكويت	b a s a k uː iː t
بسمة	b a s a m a
بسملة	b a s a m a l a
بش	b a ʃ
بش	b a ʃ
بشار	b a ʃ aː r
بشار	b a ʃ aː r
بشرة	b a ʃ a r a
بشرى	b a ʃ a r aː
بشري	b a ʃ a r iː
بشرية	b a ʃ a r iː a
بشع	b a ʃ a ʕ
بشملة	b a ʃ a m a l a
بشناق	b a ʃ a n aː q
بشناقي	b a ʃ a n aː q iː
بشندي	b a ʃ a n a d iː
بشنونة	b a ʃ a n uː n a
بشوش	b a ʃ uː ʃ
بشير	b a ʃ iː r
بشيرة	b a ʃ iː r a
بصارة	b a sˤ aː r a
بصريات	b a sˤ a r iː aː t
بصق	b a sˤ a q
بصق	b a sˤ a q
بصقة	b a sˤ a q a
بصل	b a sˤ a l
بصلي	b a sˤ a l iː
بصير	b a sˤ iː r
بصيرة	b a sˤ iː r a
بضاعة	b a dˤ aː ʕ a
بضع	b a dˤ a ʕ
بضعة	b a dˤ a ʕ a
بطء	b a tˤ a ʔ
بطء	b a tˤ a ʔ
بطؤ	b a tˤ a ʔu
بطاء	b a tˤ aː ʔ
بطارخ	b a tˤ aː r a x
بطارخ	b a tˤ aː r a x
بطارقة	b a tˤ aː r a q a
بطاريات	b a tˤ aː r iː aː t
بطارية	b a tˤ aː r iː a
بطاريق	b a tˤ aː r iː q
بطاطا	b a tˤ aː tˤ aː
بطاطس	b a tˤ aː tˤ a s
بطاقة	b a tˤ aː q a
بطالة	b a tˤ aː l a
بطالة	b a tˤ aː l a
بطانة	b a tˤ aː n a
بطة	b a tˤ a
بطرخ	b a tˤ a r a x
بطرس	b a tˤ a r a s
بطرك	b a tˤ a r a k
بطروخ	b a tˤ a r uː x
بطريركية	b a tˤ a r iː r a k iː a
بطريك	b a tˤ a r iː k
بطلاقة	b a tˤ a l aː q a
بطلاقة	b a tˤ a l aː q a
بطليوس	b a tˤ a l iː uː s
بطم	b a tˤ a m
بطن	b a tˤ a n
بطن	b a tˤ a n
بطن	b a tˤ a n
بطن	b a tˤ a n
بطنة	b a tˤ a n a
بطولة	b a tˤ uː l a
بطولة	b a tˤ uː l a
بطيء	b a tˤ iː ʔ
بظر	b a ðˤ a r
بعث	b a ʕ a θ
بعث	b a ʕ a θ
بعثة	b a ʕ a θ a
بعثران	b a ʕ a θ a r aː n
بعثي	b a ʕ a θ iː
بعدما	b a ʕ a d a m aː
بعر	b a ʕ a r
بعر	b a ʕ a r
بعض	b a ʕ a dˤ
بعضا	b a ʕ a dˤ aː
بعل	b a ʕ a l
بعلبك	b a ʕ a l a b a k
بعلبك	b a ʕ a l a b a k
بعلبك	b a ʕ a l a b a k
بعلة	b a ʕ a l a
بعوض	b a ʕ uː dˤ
بعيثران	b a ʕ iː θ a r aː n
بعيثران	b a ʕ iː θ a r aː n
بعيد	b a ʕ iː d
بعيد	b a ʕ iː d
بعير	b a ʕ iː r
بغاء	b a ɣ aː ʔ
بغتة	b a ɣ a t a
بغتة	b a ɣ a t a
بغداد	b a ɣ a d aː d
بغرير	b a ɣ a r iː r
بغل	b a ɣ a l
بغلة	b a ɣ a l a
بغي	b a ɣ iː
بغية	b a ɣ iː a
بغيض	b a ɣ iː dˤ
بفضل	b a f a dˤ a l
بقاع	b a q aː ʕ
بقالة	b a q aː l a
بقبق	b a q a b a q
بقجة	b a q a d͡ʒ a
بقدونس	b a q a d uː n a s
بقدونس	b a q a d uː n a s
بقر	b a q a r
بقرة	b a q a r a
بقريات	b a q a r iː aː t
بقس	b a q a s
بقس	b a q a s
بقسماط	b a q a s a m aː tˤ
بقشة	b a q a ʃ a
بقشيش	b a q a ʃ iː ʃ
بقص	b a q a sˤ
بقص	b a q a sˤ
بقع	b a q a ʕ
بقعة	b a q a ʕ a
بقل	b a q a l
بقلاوة	b a q a l aː uː a
بقي	b a q iː
بقية	b a q iː a
بكارة	b a k aː r a
بكارج	b a k aː r a d͡ʒ
بكة	b a k a
