ء	ʔ
بثور	b θ u r
بجادق	b dʒ aː d q
بجادي	b dʒ aː d iː
بجادي	b dʒ aː d iː
بجاذق	b dʒ aː ð q
بجاذي	b dʒ aː ð iː
بجح	b dʒ ħ
بجح	b dʒ ħ
بجد	b dʒ d
بجوار	b dʒ u aː r
بجول	b dʒ u l
بجون	b dʒ u n
بح	b ħ
بحاح	b ħ aː ħ
بحار	b ħ aː r
بحث	b ħ θ
بحث	b ħ θ
بحر	b ħ r
بحر	b ħ r
بحر	b ħ r
بحر	b ħ r
بحر	b ħ r
بحران	b ħ r aː n
بحري	b ħ r iː
بحرين	b ħ r i n
بحرين	b ħ r i n
بحريني	b ħ r i n iː
بحلق	b ħ l q
بحيرة	b ħ i r a
بخاخ	b x aː x
بخت	b x t
بخت	b x t
بختري	b x t r iː
بخشيش	b x ʃ i ʃ
بخص	b x sˤ
بخص	b x sˤ
بخير	b x i r
بخيل	b x i l
بدأ	b d ʔ a
بدا	b d aː
بداية	b d aː j a
بدخش	b d x ʃ
بدر	b d r
بدعة	b d ʕ a
بدلات	b d l aː t
بدلة	b d l a
بدليس	b d l i s
بدن	b d n
بدنة	b d n a
بدني	b d n iː
بدهي	b d h iː
بدون	b d u n
بدوي	b d u iː
بديع	b d i ʕ
بديهي	b d i h iː
بذ	b ð
بذاءة	b ð aː ʔ a
بذج	b ð dʒ
بذج	b ð dʒ
بذرة	b ð r a
بذرقطونا	b ð r q tˤ u n aː
بذرقطونا	b ð r q tˤ u n aː
بذريات	b ð r i aː t
بذلة	b ð l a
بذلة	b ð l a
برأ	b r ʔ a
برئ	b r ʔ i
براءة	b r aː ʔ a
براتا	b r aː t aː
برار	b r aː r
براز	b r aː z
براشوت	b r aː ʃ u t
براعة	b r aː ʕ a
براق	b r aː q
براني	b r aː n iː
برانية	b r aː n i a
براهمة	b r aː h m a
براية	b r aː j a
براية	b r aː j a
براين	b r aː j n
بربادوس	b r b aː d u s
بربادوس	b r b aː d u s
بربادوس	b r b aː d u s
بربادوس	b r b aː d u s
بربارة	b r b aː r a
برباريس	b r b aː r i s
بربخ	b r b x
بربري	b r b r iː
بربرية	b r b r i a
بربير	b r b i r
برتقال	b r t q aː l
برتقال	b r t q aː l
برتقالي	b r t q aː l iː
برثولماوس	b r θ u l m aː w s
برج	b r dʒ
برج	b r dʒ
برج	b r dʒ
برجار	b r dʒ aː r
برجل	b r dʒ l
برح	b r ħ
برح	b r ħ
برح	b r ħ
بردزبة	b r d z b a
بردعة	b r d ʕ a
بردقوش	b r d q u ʃ
بردي	b r d iː
بردي	b r d iː
برذعة	b r ð ʕ a
برذون	b r ð u n
برر	b r r
برز	b r z
برساوشان	b r s aː w ʃ aː n
برسياوشان	b r s i aː w ʃ aː n
برسياوشان	b r s i aː w ʃ aː n
برسيم	b r s i m
برشام	b r ʃ aː m
برشام	b r ʃ aː m
برشاوشان	b r ʃ aː w ʃ aː n
برشلونة	b r ʃ l u n a
برشلوني	b r ʃ l u n iː
برشومي	b r ʃ u m iː
برشياوشان	b r ʃ i aː w ʃ aː n
برشياوشان	b r ʃ i aː w ʃ aː n
برشيد	b r ʃ i d
برص	b r sˤ
برطانية	b r tˤ aː n i a
برطانية	b r tˤ aː n i a
برعم	b r ʕ m
برعم	b r ʕ m
برغش	b r ɣ ʃ
برغوث	b r ɣ u θ
برغي	b r ɣ iː
برق	b r q
برق	b r q
برقوق	b r q u q
برقوق	b r q u q
برقية	b r q i a
بركار	b r k aː r
بركان	b r k aː n
بركان	b r k aː n
بركان	b r k aː n
بركان	b r k aː n
بركاني	b r k aː n iː
بركة	b r k a
بركة	b r k a
بركة	b r k a
بركري	b r k r iː
برلمان	b r l m aː n
برلماني	b r l m aː n iː
برلين	b r l i n
برلين	b r l i n
برم	b r m
برم	b r m
برم	b r m
برمائي	b r m aː ʔ i iː
برمائيات	b r m aː ʔ i i aː t
برمة	b r m a
برمج	b r m dʒ
برميل	b r m i l
برميل	b r m i l
برن	b r n
برن	b r n
برن	b r n
برنامج	b r n aː m dʒ
برني	b r n iː
برني	b r n iː
برنية	b r n i a
برنية	b r n i a
برنيق	b r n i q
برنيق	b r n i q
برهان	b r h aː n
برهة	b r h a
برواز	b r u aː z
بروتستانتي	b r u t s t aː n t iː
بروتستانتي	b r u t s t aː n t iː
بروتون	b r u t u n
برودة	b r u d a
بروكسل	b r u k s l
بروكسل	b r u k s l
بروليتاري	b r u l i t aː r iː
بروليتاري	b r u l i t aː r iː
بروليتاريا	b r u l i t aː r i aː
بروليتاريا	b r u l i t aː r i aː
بروناي	b r u n aː iː
بري	b r iː
بريد	b r i d
بريدي	b r i d iː
بريطاني	b r i tˤ aː n iː
بريطاني	b r i tˤ aː n iː
بريمة	b r i m a
بريمة	b r i m a
برينة	b r i n a
برينة	b r i n a
بزاز	b z aː z
بزاق	b z aː q
بزاقة	b z aː q a
بزرقطونا	b z r q tˤ u n aː
بزرقطونا	b z r q tˤ u n aː
بزغ	b z ɣ
بزق	b z q
بزق	b z q
بزقة	b z q a
بزل	b z l
بزل	b z l
بزم	b z m
بس	b s
بس	b s
بساط	b s aː tˤ
بساطة	b s aː tˤ a
بسالة	b s aː l a
بسام	b s aː m
بسباس	b s b aː s
بسباس	b s b aː s
بسباسة	b s b aː s a
بسباسة	b s b aː s a
بسبايج	b s b aː j dʒ
بسبب	b s b b
بستان	b s t aː n
بستنة	b s t n a
بستو	b s t uː
بستوقة	b s t u q a
بسد	b s d
بسد	b s d
بسد	b s d
بسط	b s tˤ
بسفايج	b s f aː j dʒ
بسكرة	b s k r a
بسكويت	b s k u j t
بسكويت	b s k u j t
بسمة	b s m a
بسملة	b s m l a
بش	b ʃ
بش	b ʃ
بشار	b ʃ aː r
بشار	b ʃ aː r
بشرة	b ʃ r a
بشرى	b ʃ r aː
بشري	b ʃ r iː
بشرية	b ʃ r i a
بشع	b ʃ ʕ
بشملة	b ʃ m l a
بشناق	b ʃ n aː q
بشناقي	b ʃ n aː q iː
بشندي	b ʃ n d iː
بشنونة	b ʃ n u n a
بشوش	b ʃ u ʃ
بشير	b ʃ i r
بشيرة	b ʃ i r a
بصارة	b sˤ aː r a
بصريات	b sˤ r i aː t
بصق	b sˤ q
بصق	b sˤ q
بصقة	b sˤ q a
بصل	b sˤ l
بصلي	b sˤ l iː
بصير	b sˤ i r
بصيرة	b sˤ i r a
بضاعة	b dˤ aː ʕ a
بضع	b dˤ ʕ
بضعة	b dˤ ʕ a
بطء	b tˤ ʔ
بطء	b tˤ ʔ
بطؤ	b tˤ ʔ u
بطاء	b tˤ aː ʔ
بطارخ	b tˤ aː r x
بطارخ	b tˤ aː r x
بطارقة	b tˤ aː r q a
بطاريات	b tˤ aː r i aː t
بطارية	b tˤ aː r i a
بطاريق	b tˤ aː r i q
بطاطا	b tˤ aː tˤ aː
بطاطس	b tˤ aː tˤ s
بطاقة	b tˤ aː q a
بطالة	b tˤ aː l a
بطالة	b tˤ aː l a
بطانة	b tˤ aː n a
بطة	b tˤ a
بطرخ	b tˤ r x
بطرس	b tˤ r s
بطرك	b tˤ r k
بطروخ	b tˤ r u x
بطريركية	b tˤ r i r k i a
بطريك	b tˤ r i k
بطلاقة	b tˤ l aː q a
بطلاقة	b tˤ l aː q a
بطليوس	b tˤ l i w s
بطم	b tˤ m
بطن	b tˤ n
بطن	b tˤ n
بطن	b tˤ n
بطن	b tˤ n
بطنة	b tˤ n a
بطولة	b tˤ u l a
بطولة	b tˤ u l a
بطيء	b tˤ i ʔ
بظر	b ðˤ r
بعث	b ʕ θ
بعث	b ʕ θ
بعثة	b ʕ θ a
بعثران	b ʕ θ r aː n
بعثي	b ʕ θ iː
بعدما	b ʕ d m aː
بعر	b ʕ r
بعر	b ʕ r
بعض	b ʕ dˤ
بعضا	b ʕ dˤ aː
بعل	b ʕ l
بعلبك	b ʕ l b k
بعلبك	b ʕ l b k
بعلبك	b ʕ l b k
بعلة	b ʕ l a
بعوض	b ʕ u dˤ
بعيثران	b ʕ i θ r aː n
بعيثران	b ʕ i θ r aː n
بعيد	b ʕ i d
بعيد	b ʕ i d
بعير	b ʕ i r
بغاء	b ɣ aː ʔ
بغتة	b ɣ t a
بغتة	b ɣ t a
بغداد	b ɣ d aː d
بغرير	b ɣ r i r
بغل	b ɣ l
بغلة	b ɣ l a
بغي	b ɣ iː
بغية	b ɣ i a
بغيض	b ɣ i dˤ
بفضل	b f dˤ l
بقاع	b q aː ʕ
بقالة	b q aː l a
بقبق	b q b q
بقجة	b q dʒ a
بقدونس	b q d u n s
بقدونس	b q d u n s
بقر	b q r
بقرة	b q r a
بقريات	b q r i aː t
بقس	b q s
بقس	b q s
بقسماط	b q s m aː tˤ
بقشة	b q ʃ a
بقشيش	b q ʃ i ʃ
بقص	b q sˤ
بقص	b q sˤ
بقع	b q ʕ
بقعة	b q ʕ a
بقل	b q l
بقلاوة	b q l aː w a
بقي	b q iː
بقية	b q i a
بكارة	b k aː r a
بكارج	b k aː r dʒ
بكة	b k a
بكتيريا	b k t i r i aː
بكرج	b k r dʒ
بكورية	b k u r i a
بكى	b k aː
بكى	b k aː
بكية	b k i a
بكين	b k i n
بكين	b k i n
بلادونا	b l aː d u n aː
بلاذر	b l aː ð r
بلاذر	b l aː ð r
بلاستيك	b l aː s t i k
بلاستيكي	b l aː s t i k iː
بلاعة	b l aː ʕ a
بلاغ	b l aː ɣ
بلاغة	b l aː ɣ a
بلان	b l aː n
بلاهة	b l aː h a
بلة	b l a
بلة	b l a
بلجيكا	b l dʒ i k aː
بلجيكا	b l dʒ i k aː
بلجيكا	b l dʒ i k aː
بلجيكا	b l dʒ i k aː
بلجيكي	b l dʒ i k iː
بلخ	b l x
بلخش	b l x ʃ
بلد	b l d
بلدة	b l d a
بلس	b l s
بلس	b l s
بلس	b l s
بلس	b l s
بلس	b l s
بلشون	b l ʃ u n
بلطة	b l tˤ a
بلطجي	b l tˤ dʒ iː
بلطي	b l tˤ iː
بلعوم	b l ʕ u m
بلغاري	b l ɣ aː r iː
بلغاريا	b l ɣ aː r i aː
بلغاريا	b l ɣ aː r i aː
بلغم	b l ɣ m
بلغمي	b l ɣ m iː
بلقن	b l q n
بلكفة	b l k f a
بلل	b l l
بلل	b l l
بلنسية	b l n s i a
بلوة	b l u a
بلوة	b l u a
بلوة	b l u a
بلوتو	b l u t uː
بلور	b l u r
بلور	b l u r
بلوط	b l u tˤ
بلوطة	b l u tˤ a
بليج	b l i dʒ
بليج	b l i dʒ
بليحا	b l i ħ aː
بليحاء	b l i ħ aː ʔ
بليحة	b l i ħ a
بليد	b l i d
بليز	b l i z
بليغ	b l i ɣ
بليلة	b l i l a
بليلج	b l i l dʒ
بمن	b m n
بمناسبة	b m n aː s b a
بموجب	b m u dʒ b
بن	b n
بن	b n
بن	b n
بن	b n
بناء	b n aː ʔ
بناء	b n aː ʔ
بنان	b n aː n
بناية	b n aː j a
بنايوس	b n aː j w s
بنة	b n a
بنة	b n a
بنت	b n t
بنت	b n t
بنت	b n t
بنت	b n t
بنت	b n t
بنجابية	b n dʒ aː b i a
بنجر	b n dʒ r
بنجلاديش	b n dʒ l aː d i ʃ
بنجنكشت	b n dʒ n k ʃ t
بنجنكشت	b n dʒ n k ʃ t
بند	b n d
بندر	b n d r
بندق	b n d q
بندق	b n d q
بندقاني	b n d q aː n iː
بندقية	b n d q i a
بندورة	b n d u r a
بنزين	b n z i n
بنزين	b n z i n
بنسلفينيا	b n s l f i n i aː
بنش	b n ʃ
بنش	b n ʃ
بنطال	b n tˤ aː l
بنغلاديش	b n ɣ l aː d i ʃ
بنغلاديش	b n ɣ l aː d i ʃ
بنفسج	b n f s dʒ
بنفسجي	b n f s dʒ iː
بنك	b n k
بنكرياس	b n k r i aː s
بنكنوت	b n k n u t
بنكنوت	b n k n u t
بنما	b n m aː
بنو	b n uː
بنى	b n aː
بني	b n iː
بنين	b n i n
بنين	b n i n
بهاء	b h aː ʔ
بهائي	b h aː ʔ i iː
بهار	b h aː r
بهار	b h aː r
بهجة	b h dʒ a
بهر	b h r
بهرج	b h r dʒ
بهشية	b h ʃ i a
بهلوان	b h l u aː n
بهلول	b h l u l
بهمن	b h m n
بهو	b h uː
بهيج	b h i dʒ
بهيجة	b h i dʒ a
بهيم	b h i m
بهيمة	b h i m a
بواب	b u aː b
بوابة	b u aː b a
بوابة	b u aː b a
بواسير	b u aː s i r
بواكير	b u aː k i r
بواليع	b u aː l i ʕ
بوان	b u aː n
بوب	b u b
بوب	b u b
بوتاسيوم	b u t aː s i w m
بوتان	b u t aː n
بوتين	b u t i n
بوتيني	b u t i n iː
بوتينية	b u t i n i a
بوجة	b u dʒ a
بوخارست	b u x aː r s t
بودابست	b u d aː b s t
بوذا	b u ð aː
بوذي	b u ð iː
بوذية	b u ð i a
بورانية	b u r aː n i a
بورتسودان	b u r t s u d aː n
بورتوريكو	b u r t u r i k uː
بورتوريكو	b u r t u r i k uː
بورسودان	b u r s u d aː n
بورصة	b u r sˤ a
بورصة	b u r sˤ a
بورفؤاد	b u r f ʔ u aː d
بورما	b u r m aː
بورندي	b u r n d iː
بوروندي	b u r u n d iː
بوري	b u r iː
بوري	b u r iː
بوزون	b u z u n
بوزيدان	b u z i d aː n
بوزيدان	b u z i d aː n
بوزيدان	b u z i d aː n
بوسان	b u s aː n
بوسة	b u s a
بوسة	b u s a
بوسة	b u s a
بوسكورة	b u s k u r a
بوصة	b u sˤ a
بوصلة	b u sˤ l a
بوصلة	b u sˤ l a
بوصلة	b u sˤ l a
بوصلة	b u sˤ l a
بوصلة	b u sˤ l a
بوصلة	b u sˤ l a
بوصير	b u sˤ i r
بوط	b u tˤ
بوغاز	b u ɣ aː z
بوق	b u q
بوقية	b u q i a
بوكيمون	b u k i m u n
بولاد	b u l aː d
بولس	b u l s
بولندا	b u l n d aː
بولندا	b u l n d aː
بولندا	b u l n d aː
بوليس	b u l i s
بوليفيا	b u l i f i aː
بومة	b u m a
بومة	b u m a
بوملي	b u m l iː
بويب	b u j b
بويت	b u j t
بيئة	b i ʔ i a
بياض	b i aː dˤ
بياض	b i aː dˤ
بيان	b i aː n
بيانات	b i aː n aː t
بيبرلماني	b i b r l m aː n iː
بيت	b i t
بيت	b i t
بيت	b i t
بيتزا	b i t z aː
بيتزا	b i t z aː
بيتزا	b i t z aː
بيتزا	b i t z aː
بيجادق	b i dʒ aː d q
بيجادي	b i dʒ aː d iː
بيجاذق	b i dʒ aː ð q
بيجاذي	b i dʒ aː ð iː
بيد	b i d
بيداء	b i d aː ʔ
بيدر	b i d r
بيدق	b i d q
بيرق	b i r q
بيرم	b i r m
بيرو	b i r uː
بيروت	b i r u t
بيروقراطي	b i r u q r aː tˤ iː
بيسوس	b i s u s
بيش	b i ʃ
بيشاور	b i ʃ aː w r
بيشوي	b i ʃ u iː
بيض	b i dˤ
بيض	b i dˤ
بيض	b i dˤ
بيضة	b i dˤ a
بيطرة	b i tˤ r a
بيع	b i ʕ
بيعة	b i ʕ a
بيعة	b i ʕ a
بيفام	b i f aː m
بيقية	b i q i a
بيكار	b i k aː r
بيلادونا	b i l aː d u n aː
بيلاروس	b i l aː r u s
بيلاروسي	b i l aː r u s iː
بيلاروسيا	b i l aː r u s i aː
بيلاروسيا	b i l aː r u s i aː
بيلقان	b i l q aː n
بين	b i n
بينما	b i n m aː
بينيت	b i n i t
بينيت	b i n i t
بينيث	b i n i θ
بينيث	b i n i θ
بيوت	b i w t
بيوزاري	b i w z aː r iː
ة	a
ة	a
ت	t
ت	t
تأبض	t ʔ a b dˤ
تأبط	t ʔ a b tˤ
تأبق	t ʔ a b q
تأتى	t ʔ a t aː
تأثرات	t ʔ a θ r aː t
تأثير	t ʔ a θ i r
تأجير	t ʔ a dʒ i r
تأخير	t ʔ a x i r
تأذين	t ʔ a ð i n
تأرجح	t ʔ a r dʒ ħ
تأسف	t ʔ a s f
تأسف	t ʔ a s f
تأسيس	t ʔ a s i s
تأقلم	t ʔ a q l m
تأكيد	t ʔ a k i d
تأكيدا	t ʔ a k i d aː
تألب	t ʔ a l b
تألف	t ʔ a l f
تألق	t ʔ a l q
تألق	t ʔ a l q
تأمرك	t ʔ a m r k
تأمور	t ʔ a m u r
تأموري	t ʔ a m u r iː
تأمى	t ʔ a m aː
تأمير	t ʔ a m i r
تأميم	t ʔ a m i m
تأمينات	t ʔ a m i n aː t
تأنجل	t ʔ a n dʒ l
تأنق	t ʔ a n q
تأنى	t ʔ a n aː
تأهل	t ʔ a h l
تأوه	t ʔ a u h
تأوه	t ʔ a u h
تأييد	t ʔ a i j d
تاء	t aː ʔ
تاب	t aː b
تابل	t aː b l
تابل	t aː b l
تابوت	t aː b u t
تاج	t aː dʒ
تاجر	t aː dʒ r
تاجورة	t aː dʒ u r a
تاجي	t aː dʒ iː
تارة	t aː r a
تارة	t aː r a
تاريخ	t aː r i x
تاريخا	t aː r i x aː
تاريخي	t aː r i x iː
تاريخية	t aː r i x i a
تازة	t aː z a
تاسع	t aː s ʕ
تافه	t aː f h
تاق	t aː q
تاك	t aː k
تاكسي	t aː k s iː
تال	t aː l
تالله	t aː l l h
تالي	t aː l iː
تامول	t aː m u l
تانبول	t aː n b u l
تاوريرت	t aː w r i r t
تايلاند	t aː j l aː n d
تايلند	t aː j l n d
تايلندي	t aː j l n d iː
تايوان	t aː j w aː n
تب	t b
تبادر	t b aː d r
تبارى	t b aː r aː
تباطأ	t b aː tˤ ʔ a
تباعد	t b aː ʕ d
تباعد	t b aː ʕ d
تباكى	t b aː k aː
تباهى	t b aː h aː
تباين	t b aː j n
تباين	t b aː j n
تبجيل	t b dʒ i l
تبحر	t b ħ r
تبدع	t b d ʕ
تبديد	t b d i d
تبرع	t b r ʕ
تبرع	t b r ʕ
تبرم	t b r m
تبرى	t b r aː
تبرير	t b r i r
تبريز	t b r i z
تبشير	t b ʃ i r
تبصير	t b sˤ i r
تبع	t b ʕ
تبعية	t b ʕ i a
تبغ	t b ɣ
تبغ	t b ɣ
تبلدي	t b l d iː
تبليد	t b l i d
تبليسي	t b l i s iː
تبييض	t b i j dˤ
تتبير	t t b i r
تتر	t t r
تتر	t t r
تترى	t t r aː
تتلى	t t l aː
تتويج	t t u j dʒ
تثبيت	t θ b i t
تثبيط	t θ b i tˤ
تثليث	t θ l i θ
تثمير	t θ m i r
تثنية	t θ n i a
تجادل	t dʒ aː d l
تجار	t dʒ aː r
تجار	t dʒ aː r
تجار	t dʒ aː r
تجارة	t dʒ aː r a
تجاري	t dʒ aː r iː
تجافى	t dʒ aː f aː
تجاوزات	t dʒ aː w z aː t
تجدد	t dʒ d d
تجدد	t dʒ d d
تجذير	t dʒ ð i r
تجربة	t dʒ r b a
تجرد	t dʒ r d
تجرد	t dʒ r d
تجرع	t dʒ r ʕ
تجريبي	t dʒ r i b iː
تجريف	t dʒ r i f
تجريم	t dʒ r i m
تجفاف	t dʒ f aː f
تجن	t dʒ n
تجنب	t dʒ n b
تجنب	t dʒ n b
تجنى	t dʒ n aː
تجنيس	t dʒ n i s
تجهيز	t dʒ h i z
تجهيزات	t dʒ h i z aː t
تجوال	t dʒ u aː l
تجوف	t dʒ u f
تجوف	t dʒ u f
تجويد	t dʒ u j d
تحاشى	t ħ aː ʃ aː
تحالف	t ħ aː l f
تحت	t ħ t
تحت	t ħ t
تحتاني	t ħ t aː n iː
تحتاني	t ħ t aː n iː
تحدى	t ħ d aː
تحذلق	t ħ ð l q
تحذير	t ħ ð i r
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرش	t ħ r ʃ
تحرك	t ħ r k
تحرير	t ħ r i r
تحريري	t ħ r i r iː
تحريض	t ħ r i dˤ
تحريضي	t ħ r i dˤ iː
تحريك	t ħ r i k
تحسس	t ħ s s
تحشرج	t ħ ʃ r dʒ
تحصن	t ħ sˤ n
تحصن	t ħ sˤ n
تحصيل	t ħ sˤ i l
تحفة	t ħ f a
تحقق	t ħ q q
تحقير	t ħ q i r
تحقيق	t ħ q i q
تحكم	t ħ k m
تحكم	t ħ k m
تحكيم	t ħ k i m
تحليلي	t ħ l i l iː
تحمس	t ħ m s
تحمس	t ħ m s
تحمم	t ħ m m
تحوز	t ħ u z
تحوط	t ħ u tˤ
تحوط	t ħ u tˤ
تحول	t ħ u l
تحولة	t ħ u l a
تحويط	t ħ u j tˤ
تحير	t ħ i r
تحيز	t ħ i z
تحين	t ħ i n
تحين	t ħ i n
تخاصم	t x aː sˤ m
تخاصم	t x aː sˤ m
تخت	t x t
تختج	t x t dʒ
تخدر	t x d r
تخدير	t x d i r
تخرج	t x r dʒ
تخريب	t x r i b
تخريبي	t x r i b iː
تخريف	t x r i f
تخسيس	t x s i s
تخصيب	t x sˤ i b
تخصيص	t x sˤ i sˤ
تخصيصات	t x sˤ i sˤ aː t
تخضخض	t x dˤ x dˤ
تخطى	t x tˤ aː
تخفيض	t x f i dˤ
تخفيف	t x f i f
تخلص	t x l sˤ
تخلص	t x l sˤ
تخم	t x m
تخم	t x m
تخمين	t x m i n
تخمينا	t x m i n aː
تخميني	t x m i n iː
تداع	t d aː ʕ
تداعى	t d aː ʕ aː
تدافق	t d aː f q
تدافق	t d aː f q
تداو	t d aː uː
تدثر	t d θ r
تدخين	t d x i n
تدرب	t d r b
تدربس	t d r b s
تدرج	t d r dʒ
تدرج	t d r dʒ
تدرج	t d r dʒ
تدريب	t d r i b
تدريج	t d r i dʒ
تدريجي	t d r i dʒ iː
تدريس	t d r i s
تدفق	t d f q
تدفق	t d f q
تدفيق	t d f i q
تدقيق	t d q i q
تدقيقات	t d q i q aː t
تدلدل	t d l d l
تدلى	t d l aː
تدليس	t d l i s
تدليك	t d l i k
تدليل	t d l i l
تدمير	t d m i r
تدنيس	t d n i s
تدهور	t d h u r
تدهور	t d h u r
تدهيش	t d h i ʃ
تدوير	t d u j r
تذاكى	t ð aː k aː
تذام	t ð aː m
تذبذب	t ð b ð b
تذبذب	t ð b ð b
تذكار	t ð k aː r
تذكار	t ð k aː r
تذكر	t ð k r
تذكر	t ð k r
تذكرة	t ð k r a
تذليل	t ð l i l
تذمر	t ð m r
تذمر	t ð m r
تذوق	t ð u q
ترأى	t r ʔ a aː
تراءى	t r aː ʔ aː
تراب	t r aː b
تراب	t r aː b
ترابط	t r aː b tˤ
تراجم	t r aː dʒ m
تراجم	t r aː dʒ m
تراجمة	t r aː dʒ m a
تراجيديا	t r aː dʒ i d i aː
تراجيم	t r aː dʒ i m
تراخوما	t r aː x u m aː
تراخوما	t r aː x u m aː
تراض	t r aː dˤ
تراضى	t r aː dˤ aː
تراكم	t r aː k m
تراكم	t r aː k m
ترامب	t r aː m b
ترامب	t r aː m b
ترامب	t r aː m b
ترامب	t r aː m b
ترانزستور	t r aː n z s t u r
تراوح	t r aː w ħ
تراوح	t r aː w ħ
تراويح	t r aː w j ħ
تربة	t r b a
تربية	t r b i a
ترتيب	t r t i b
ترجم	t r dʒ m
ترجمان	t r dʒ m aː n
ترجمان	t r dʒ m aː n
ترجمان	t r dʒ m aː n
ترجمة	t r dʒ m a
ترجى	t r dʒ aː
ترجيح	t r dʒ i ħ
ترخيص	t r x i sˤ
ترسانة	t r s aː n a
ترسانة	t r s aː n a
ترسة	t r s a
ترسيم	t r s i m
ترشح	t r ʃ ħ
ترصد	t r sˤ d
ترعة	t r ʕ a
ترعرع	t r ʕ r ʕ
ترفع	t r f ʕ
ترفع	t r f ʕ
ترفيع	t r f i ʕ
ترفيه	t r f i h
ترفيهي	t r f i h iː
ترق	t r q
ترقرق	t r q r q
ترقوة	t r q u a
ترقية	t r q i a
ترك	t r k
ترك	t r k
ترك	t r k
ترك	t r k
تركاش	t r k aː ʃ
تركستان	t r k s t aː n
تركمان	t r k m aː n
تركمانستان	t r k m aː n s t aː n
تركماني	t r k m aː n iː
تركمانية	t r k m aː n i a
تركيا	t r k i aː
تركيا	t r k i aː
تركيب	t r k i b
تركيز	t r k i z
ترمس	t r m s
ترمس	t r m s
ترميم	t r m i m
ترنج	t r n dʒ
ترنج	t r n dʒ
ترنجان	t r n dʒ aː n
ترنح	t r n ħ
ترنيم	t r n i m
ترويحة	t r u j ħ a
ترياق	t r i aː q
تريبة	t r i b a
تريث	t r i θ
تزامن	t z aː m n
تزامن	t z aː m n
تزحزح	t z ħ z ħ
تزحلق	t z ħ l q
تزحلق	t z ħ l q
تزريق	t z r i q
تزعزع	t z ʕ z ʕ
تزكية	t z k i a
تزلج	t z l dʒ
تزلج	t z l dʒ
تزوج	t z u dʒ
تزويد	t z u j d
تزيا	t z i aː
تساءل	t s aː ʔ l
تسابى	t s aː b aː
تساقط	t s aː q tˤ
تساقط	t s aː q tˤ
تسامح	t s aː m ħ
تسامح	t s aː m ħ
تسامر	t s aː m r
تساهل	t s aː h l
تساهل	t s aː h l
تساوم	t s aː w m
تساوى	t s aː w aː
تساوى	t s aː w aː
تسبسب	t s b s b
تسبيح	t s b i ħ
تسبيحة	t s b i ħ a
تستر	t s t r
تستر	t s t r
تسجيل	t s dʒ i l
تسحر	t s ħ r
تسريب	t s r i b
تسع	t s ʕ
تسع	t s ʕ
تسع	t s ʕ
تسعة	t s ʕ a
تسعمائة	t s ʕ m aː ʔ i a
تسعون	t s ʕ u n
تسعون	t s ʕ u n
تسكع	t s k ʕ
تسكين	t s k i n
تسلط	t s l tˤ
تسلق	t s l q
تسلق	t s l q
تسلل	t s l l
تسلم	t s l m
تسلم	t s l m
تسلية	t s l i a
تسليط	t s l i tˤ
تسليمة	t s l i m a
تسهيل	t s h i l
تسونامي	t s u n aː m iː
تسوية	t s u j a
تسويق	t s u j q
تسيس	t s i s
تسييس	t s i j s
تشاءم	t ʃ aː ʔ m
تشاءى	t ʃ aː ʔ aː
تشاعر	t ʃ aː ʕ r
تشالة	t ʃ aː l a
تشالة	t ʃ aː l a
تشامخ	t ʃ aː m x
تشامخ	t ʃ aː m x
تشبث	t ʃ b θ
تشبث	t ʃ b θ
تشبيه	t ʃ b i h
تشجير	t ʃ dʒ i r
تشخيص	t ʃ x i sˤ
تشخيصي	t ʃ x i sˤ iː
تشديد	t ʃ d i d
تشرذم	t ʃ r ð m
تشرفنا	t ʃ r f n aː
تشريف	t ʃ r i f
تشرين	t ʃ r i n
تشعب	t ʃ ʕ b
تشعب	t ʃ ʕ b
تشغيل	t ʃ ɣ i l
تشكيك	t ʃ k i k
تشكيل	t ʃ k i l
تشكيلات	t ʃ k i l aː t
تشنج	t ʃ n dʒ
تشنج	t ʃ n dʒ
تشهل	t ʃ h l
تشهير	t ʃ h i r
تشويش	t ʃ u j ʃ
تشويق	t ʃ u j q
تشويقة	t ʃ u j q a
تشويه	t ʃ u j h
تشيستوخوفا	t ʃ i s t u x u f aː
تشيكوسلوفاكيا	t ʃ i k u s l u f aː k i aː
تشيكي	t ʃ i k iː
تشيكيا	t ʃ i k i aː
تشيلي	t ʃ i l iː
تشيلي	t ʃ i l iː
تصاءى	t sˤ aː ʔ aː
تصادف	t sˤ aː d f
تصادف	t sˤ aː d f
تصادم	t sˤ aː d m
تصادم	t sˤ aː d m
تصاعد	t sˤ aː ʕ d
تصاعدي	t sˤ aː ʕ d iː
تصالح	t sˤ aː l ħ
تصبصب	t sˤ b sˤ b
تصبيرة	t sˤ b i r a
تصتم	t sˤ t m
تصحيح	t sˤ ħ i ħ
تصدى	t sˤ d aː
تصدير	t sˤ d i r
تصديق	t sˤ d i q
تصرف	t sˤ r f
تصرف	t sˤ r f
